ABS_FUNCTION,ABSFNC
QUALIFIED_REPRESENTATION_ITEM,QLRPIT
QUALITATIVE_UNCERTAINTY,QLTUNC
QUANTIFIED_ASSEMBLY_COMPONENT_USAGE,QACU
QUANTIFIER_EXPRESSION,QNTEXP
QUASI_UNIFORM_CURVE,QSUNCR
QUASI_UNIFORM_SURFACE,QSUNSR
QUASI_UNIFORM_VOLUME,QSUNVL
RACK_AND_PINION_PAIR,RAPP
RACK_AND_PINION_PAIR_VALUE,RAPPV
RACK_AND_PINION_PAIR_WITH_RANGE,RAPPWR
RADIOACTIVITY_MEASURE_WITH_UNIT,RMW0
RADIOACTIVITY_UNIT,RDCUNT
RADIUS_DIMENSION,RDSDMN
RANGE_CHARACTERISTIC,RNGCHR
RATIO_MEASURE_WITH_UNIT,RMWU
RATIO_UNIT,RTUNT
RATIONAL_B_SPLINE_CURVE,RBSC
RATIONAL_B_SPLINE_SURFACE,RBSS
RATIONAL_B_SPLINE_VOLUME,RBSV
RATIONAL_LOCALLY_REFINED_SPLINE_CURVE,RLRSC
RATIONAL_LOCALLY_REFINED_SPLINE_SURFACE,RLRSS
RATIONAL_LOCALLY_REFINED_SPLINE_VOLUME,RLRSV
RATIONAL_REPRESENTATION_ITEM,RTRPIT
RATIONALIZE_FUNCTION,RTNFNC
REAL_DEFINED_FUNCTION,RLDFFN
REAL_INTERVAL_FROM_MIN,RIFM
REAL_INTERVAL_TO_MAX,RITM
REAL_LITERAL,RLLTR
REAL_NUMERIC_VARIABLE,RLNMVR
REAL_REPRESENTATION_ITEM,RLRPIT
REAL_TUPLE_LITERAL,RLTPLT
RECTANGULAR_CLOSED_PROFILE,RCCLPR
RECTANGULAR_COMPOSITE_SURFACE,RCCMSR
RECTANGULAR_PATTERN,RCTPTT
RECTANGULAR_PYRAMID,RCTPYR
RECTANGULAR_TRIMMED_SURFACE,RCTRSR
REFERENCED_MODIFIED_DATUM,RFMDDT
REGULAR_TABLE_FUNCTION,RGTBFN
REINDEXED_ARRAY_FUNCTION,RNARFN
RELATIVE_EVENT_OCCURRENCE,RLEVOC
REMOVAL_VOLUME,RMVVLM
REP_ITEM_GROUP,RPITGR
REPACKAGING_FUNCTION,RPCFNC
REPARAMETRISED_COMPOSITE_CURVE_SEGMENT,RCCS
REPLICATE_FEATURE,RPLFTR
REPOSITIONED_TESSELLATED_ITEM,RPTSIT
REPRESENTATION,RPRSNT
REPRESENTATION_CONTEXT,RPRCNT
REPRESENTATION_CONTEXT_REFERENCE,RPCNRF
REPRESENTATION_ITEM,RPRITM
REPRESENTATION_ITEM_RELATIONSHIP,RPITRL
REPRESENTATION_MAP,RPRMP
REPRESENTATION_REFERENCE,RPRRFR
REPRESENTATION_RELATIONSHIP,RPRRLT
REPRESENTATION_RELATIONSHIP_WITH_TRANSFORMATION,RRWT
REQUIREMENT_ASSIGNED_OBJECT,RQASOB
REQUIREMENT_ASSIGNMENT,RQRASS
REQUIREMENT_FOR_ACTION_RESOURCE,RFAR
REQUIREMENT_SOURCE,RQRSRC
REQUIREMENT_VIEW_DEFINITION_RELATIONSHIP,RVDR
RESISTANCE_MEASURE_WITH_UNIT,RMW1
RESISTANCE_UNIT,RSSUNT
RESOURCE_PROPERTY,RSRPRP
RESOURCE_PROPERTY_REPRESENTATION,RSPRRP
RESOURCE_REQUIREMENT_TYPE,RSRQTY
RESTRICTION_FUNCTION,RSTFNC
RESULTING_PATH,RSLPTH
RETENTION,RTNTN
REVOLUTE_PAIR,RVLPR
REVOLUTE_PAIR_VALUE,RVPRVL
REVOLUTE_PAIR_WITH_RANGE,RPWR
REVOLVED_AREA_SOLID,RVARSL
REVOLVED_FACE_SOLID,RVFCSL
REVOLVED_PROFILE,RVLPRF
RIB_TOP,RBTP
RIB_TOP_FLOOR,RBTPFL
RIGHT_ANGULAR_WEDGE,RGANWD
RIGHT_CIRCULAR_CONE,RGCRCN
RIGHT_CIRCULAR_CYLINDER,RGCRCY
RIGHT_TO_USAGE_ASSOCIATION,RTUA
RIGID_LINK_REPRESENTATION,RGLNRP
ROLE_ASSOCIATION,RLASS
ROLLING_CURVE_PAIR,RLCRPR
ROLLING_CURVE_PAIR_VALUE,RCPV
ROLLING_SURFACE_PAIR,RLSRPR
ROLLING_SURFACE_PAIR_VALUE,RSPV
ROTATION_ABOUT_DIRECTION,RTABDR
ROUND_HOLE,RNDHL
ROUNDED_END,RNDEND
ROUNDED_U_PROFILE,RNUPR
ROUNDNESS_TOLERANCE,RNDTLR
ROW_REPRESENTATION_ITEM,RWRPIT
RULED_SURFACE_SWEPT_AREA_SOLID,RSSAS
RUNOUT_ZONE_DEFINITION,RNZNDF
RUNOUT_ZONE_ORIENTATION,RNZNOR
RUNOUT_ZONE_ORIENTATION_REFERENCE_DIRECTION,RZORD
SATISFIED_REQUIREMENT,STSRQR
SATISFIES_REQUIREMENT,STS1
SATISFYING_ITEM,STSITM
SCAN_3D_MODEL,SC3DMD
SCAN_DATA_SHAPE_REPRESENTATION,SDSR
SCANNED_DATA_ITEM,SCDTIT
SCANNER_BASIC_PROPERTIES,SCBSPR
SCANNER_PROPERTY,SCNPRP
SCREW_PAIR,SCRPR
SCREW_PAIR_VALUE,SCPRVL
SCREW_PAIR_WITH_RANGE,SPWR
SEAM_CURVE,SMCRV
SEAM_EDGE,SMEDG
SECURITY_CLASSIFICATION,SCRCLS
SECURITY_CLASSIFICATION_ASSIGNMENT,SCCLAS
SECURITY_CLASSIFICATION_LEVEL,SCCLLV
SELECTOR_FUNCTION,SLC0
SEQUENTIAL_METHOD,SQNMTH
SERIAL_ACTION_METHOD,SRACMT
SERIAL_NUMBERED_EFFECTIVITY,SRNMEF
SERIES_COMPOSED_FUNCTION,SRCMFN
SHAPE_ASPECT,SHPASP
SHAPE_ASPECT_ASSOCIATIVITY,SHASAS
SHAPE_ASPECT_DERIVING_RELATIONSHIP,SADR
SHAPE_ASPECT_OCCURRENCE,SHASOC
SHAPE_ASPECT_RELATIONSHIP,SHASRL
SHAPE_DEFINING_RELATIONSHIP,SHDFRL
SHAPE_DEFINITION_REPRESENTATION,SHDFRP
SHAPE_DIMENSION_REPRESENTATION,SHDMRP
SHAPE_FEATURE_DEFINITION,SHFTDF
SHAPE_FEATURE_DEFINITION_ELEMENT_RELATIONSHIP,SFDER
SHAPE_FEATURE_DEFINITION_RELATIONSHIP,SFDR
SHAPE_REPRESENTATION,SHPRPR
SHAPE_REPRESENTATION_REFERENCE,SHRPRF
SHAPE_REPRESENTATION_RELATIONSHIP,SHRPRL
SHAPE_REPRESENTATION_WITH_PARAMETERS,SRWP
SHELL_BASED_SURFACE_MODEL,SBSM
SHELL_BASED_WIREFRAME_MODEL,SBWM
SHELL_BASED_WIREFRAME_SHAPE_REPRESENTATION,SBWSR
SI_ABSORBED_DOSE_UNIT,SADU
SI_CAPACITANCE_UNIT,SCPUN
SI_CONDUCTANCE_UNIT,SCNUN
SI_DOSE_EQUIVALENT_UNIT,SDEU
SI_ELECTRIC_CHARGE_UNIT,SECU
SI_ELECTRIC_POTENTIAL_UNIT,SEPU
SI_ENERGY_UNIT,SENUN
SI_FORCE_UNIT,SFRUN
SI_FREQUENCY_UNIT,SFR0
SI_ILLUMINANCE_UNIT,SILUN
SI_INDUCTANCE_UNIT,SINUN
SI_MAGNETIC_FLUX_DENSITY_UNIT,SMFDU
SI_MAGNETIC_FLUX_UNIT,SMFU
SI_POWER_UNIT,SPWUN
SI_PRESSURE_UNIT,SPRUN
SI_RADIOACTIVITY_UNIT,SRDUN
SI_RESISTANCE_UNIT,SRSUN
SI_UNIT,SUNT
SIDE_MILLING_OPERATION,SDMLOP
SIMPLE_BOOLEAN_EXPRESSION,SMBLEX
SIMPLE_GENERIC_EXPRESSION,SMGNEX
SIMPLE_NUMERIC_EXPRESSION,SMNMEX
SIMPLE_STRING_EXPRESSION,SMSTEX
SIMPLIFIED_COUNTERBORE_HOLE_DEFINITION,SCHD
SIMPLIFIED_COUNTERDRILL_HOLE_DEFINITION,SCH1
SIMPLIFIED_COUNTERSINK_HOLE_DEFINITION,SCH0
SIMPLIFIED_SPOTFACE_HOLE_DEFINITION,SSHD
SIN_FUNCTION,SNFNC
SINGLE_PROPERTY_IS_DEFINITION,SPID
SLASH_EXPRESSION,SLSEXP
SLIDING_CURVE_PAIR,SLCRPR
SLIDING_CURVE_PAIR_VALUE,SCPV
SLIDING_SURFACE_PAIR,SLSRPR
SLIDING_SURFACE_PAIR_VALUE,SSPV
SLOT,SLOT
SLOT_END,SLTEND
SOLID_ANGLE_MEASURE_WITH_UNIT,SAMWU
SOLID_ANGLE_UNIT,SLANUN
SOLID_CURVE_FONT,SLCRFN
SOLID_MODEL,SLDMDL
SOLID_REPLICA,SLDRPL
SOURCE_FOR_REQUIREMENT,SRFRRQ
SOURCED_REQUIREMENT,SRCRQR
SPECIFICATION_DEFINITION,SPCDFN
SPECIFIED_HIGHER_USAGE_OCCURRENCE,SHUO
SPHERE,SPHERE
SPHERICAL_CAP,SPHCP
SPHERICAL_PAIR,SPHPR
SPHERICAL_PAIR_VALUE,SPPRVL
SPHERICAL_PAIR_WITH_PIN,SPWP
SPHERICAL_PAIR_WITH_PIN_AND_RANGE,SPWPAR
SPHERICAL_PAIR_WITH_RANGE,SPW0
SPHERICAL_POINT,SPHPNT
SPHERICAL_SURFACE,SPHSRF
SPHERICAL_VOLUME,SPHVLM
SPOTFACE_DEFINITION,SPTDFN
SPOTFACE_HOLE_DEFINITION,SPHLDF
SPOTFACE_OCCURRENCE,SPTOCC
SPOTFACE_OCCURRENCE_IN_ASSEMBLY,SOIA
SQL_MAPPABLE_DEFINED_FUNCTION,SMDF
SQUARE_ROOT_FUNCTION,SQRTFN
SQUARE_U_PROFILE,SQUPR
STANDARD_TABLE_FUNCTION,STTBFN
STANDARD_UNCERTAINTY,STNUNC
STEP,STEP
STRAIGHTNESS_TOLERANCE,STRTLR
STRICT_TRIANGULAR_MATRIX,STTRMT
STRING_DEFINED_FUNCTION,STDFFN
STRING_EXPRESSION,STREXP
STRING_LITERAL,STRLTR
STRING_VARIABLE,STRVRB
STRUCTURED_DIMENSION_CALLOUT,STDMCL
STRUCTURED_TEXT_COMPOSITION,STTXCM
STRUCTURED_TEXT_REPRESENTATION,STTXRP
STYLED_ITEM,STYITM
STYLED_TESSELLATED_ITEM_WITH_COLOURS,STIWC
SU_PARAMETERS,SPRM
SUBEDGE,SBDG
SUBFACE,SBFC
SUBPATH,SBPTH
SUBSTRING_EXPRESSION,SBSEXP
SURFACE,SRFC
SURFACE_CONDITION_CALLOUT,SRCNCL
SURFACE_CURVE,SRFCRV
SURFACE_CURVE_SWEPT_AREA_SOLID,SCSAS
SURFACE_CURVE_SWEPT_SURFACE,SCSS
SURFACE_OF_LINEAR_EXTRUSION,SL
SURFACE_OF_REVOLUTION,SROFRV
SURFACE_PAIR,SRFPR
SURFACE_PAIR_WITH_RANGE,SPW1
SURFACE_PATCH,SRFPTC
SURFACE_PROFILE_TOLERANCE,SRPRTL
SURFACE_RENDERING_PROPERTIES,SRRNPR
SURFACE_REPLICA,SRFRPL
SURFACE_SIDE_STYLE,SRSDST
SURFACE_STYLE_BOUNDARY,SRSTBN
SURFACE_STYLE_CONTROL_GRID,SSCG
SURFACE_STYLE_FILL_AREA,SSFA
SURFACE_STYLE_PARAMETER_LINE,SSPL
SURFACE_STYLE_REFLECTANCE_AMBIENT,SSRA
SURFACE_STYLE_REFLECTANCE_AMBIENT_DIFFUSE,SSRAD
SURFACE_STYLE_REFLECTANCE_AMBIENT_DIFFUSE_SPECULAR,SSRADS
SURFACE_STYLE_RENDERING,SRSTRN
SURFACE_STYLE_RENDERING_WITH_PROPERTIES,SSRWP
SURFACE_STYLE_SEGMENTATION_CURVE,SSSC
SURFACE_STYLE_SILHOUETTE,SRSTSL
SURFACE_STYLE_TRANSPARENT,SRSTTR
SURFACE_STYLE_USAGE,SRSTUS
SURFACE_TEXTURE_REPRESENTATION,SRTXRP
SWEPT_AREA_SOLID,SWARSL
SWEPT_DISK_SOLID,SWDSSL
SWEPT_FACE_SOLID,SWFCSL
SWEPT_SURFACE,SWPSRF
SYMBOL_COLOUR,SYMCLR
SYMBOL_REPRESENTATION,SYMRPR
SYMBOL_REPRESENTATION_MAP,SYRPMP
SYMBOL_STYLE,SYMSTY
SYMBOL_TARGET,SYMTRG
SYMMETRIC_BANDED_MATRIX,SYBNMT
SYMMETRIC_MATRIX,SYMMTR
SYMMETRIC_SHAPE_ASPECT,SYSHAS
SYMMETRY_TOLERANCE,SYMTLR
TABLE_REPRESENTATION_ITEM,TBRPIT
TACTILE_APPEARANCE_REPRESENTATION,TCAPRP
TAGGED_TEXT_FORMAT,TGTXFR
TAGGED_TEXT_ITEM,TGTXIT
TAN_FUNCTION,TNFNC
TANGENT,TNGNT
TAPER,TAPER
TAPPING_OPERATION,TPPOPR
TEE_PROFILE,TPRF
TERMINATOR_SYMBOL,TRMSYM
TESSELLATED_ANNOTATION_OCCURRENCE,TSANOC
TESSELLATED_CONNECTING_EDGE,TSCNED
TESSELLATED_CURVE_SET,TSCRST
TESSELLATED_EDGE,TSSEDG
TESSELLATED_FACE,TSSFC
TESSELLATED_GEOMETRIC_SET,TSGMST
TESSELLATED_ITEM,TSSITM
TESSELLATED_POINT_SET,TSPNST
TESSELLATED_SHAPE_REPRESENTATION,TSSHRP
TESSELLATED_SHAPE_REPRESENTATION_WITH_ACCURACY_PARAMETERS,TSRWAP
TESSELLATED_SHELL,TSSSHL
TESSELLATED_SOLID,TSSSLD
TESSELLATED_STRUCTURED_ITEM,TSSTIT
TESSELLATED_SURFACE_SET,TSSRST
TESSELLATED_VERTEX,TSSVRT
TESSELLATED_WIRE,TSSWR
TETRAHEDRON,TTRHDR
TETRAHEDRON_VOLUME,TTRVLM
TEXT_LITERAL,TXTLTR
TEXT_LITERAL_WITH_ASSOCIATED_CURVES,TLWAC
TEXT_LITERAL_WITH_BLANKING_BOX,TLWBB
TEXT_LITERAL_WITH_DELINEATION,TLWD
TEXT_LITERAL_WITH_EXTENT,TLWE
TEXT_STRING_REPRESENTATION,TXSTRP
TEXT_STYLE,TXTSTY
TEXT_STYLE_FOR_DEFINED_FONT,TSFDF
TEXT_STYLE_WITH_BOX_CHARACTERISTICS,TSWBC
TEXT_STYLE_WITH_MIRROR,TSWM
TEXT_STYLE_WITH_SPACING,TSWS
THERMAL_RESISTANCE_MEASURE_WITH_UNIT,TRMWU
THERMAL_RESISTANCE_UNIT,THRSUN
THERMODYNAMIC_TEMPERATURE_MEASURE_WITH_UNIT,TTMWU
THERMODYNAMIC_TEMPERATURE_UNIT,THTMUN
THREAD,THREAD
THREAD_RUNOUT,THRRNT
THREADING_TURNING_OPERATION,THTROP
TIME_INTERVAL,TMINT
TIME_INTERVAL_ASSIGNMENT,TMINAS
TIME_INTERVAL_BASED_EFFECTIVITY,TIBE
TIME_INTERVAL_RELATIONSHIP,TMINRL
TIME_INTERVAL_ROLE,TMI0
TIME_INTERVAL_WITH_BOUNDS,TIWB
TIME_MEASURE_WITH_UNIT,TMWU
TIME_UNIT,TMUNT
TOLERANCE_VALUE,TLRVL
TOLERANCE_ZONE,TLRZN
TOLERANCE_ZONE_DEFINITION,TLZNDF
TOLERANCE_ZONE_FORM,TLZNFR
TOLERANCE_ZONE_WITH_DATUM,TZWD
TOPOLOGICAL_REPRESENTATION_ITEM,TPRPIT
TOROIDAL_SURFACE,TRDSRF
TOROIDAL_VOLUME,TRDVLM
TORUS,TORUS
TOTAL_RUNOUT_TOLERANCE,TTRNTL
TRANSITION_FEATURE,TRNFTR
TRIANGULAR_MATRIX,TRNMTR
TRIANGULATED_FACE,TRNFC
TRIANGULATED_POINT_CLOUD_DATASET,TPCD
TRIANGULATED_SURFACE_SET,TRSRST
TRIMMED_CURVE,TRMCRV
TURNED_KNURL,TRNKNR
TURNING_TYPE_OPERATION,TRTYOP
TURNING_TYPE_STRATEGY,TRTYST
TWO_DIRECTION_REPEAT_FACTOR,TDRF
TYPE_QUALIFIER,TYPQLF
UNARY_BOOLEAN_EXPRESSION,UNBLEX
UNARY_FUNCTION_CALL,UNFNCL
UNARY_GENERIC_EXPRESSION,UNGNEX
UNARY_NUMERIC_EXPRESSION,UNNMEX
UNCERTAINTY_ASSIGNED_REPRESENTATION,UNASRP
UNCERTAINTY_MEASURE_WITH_UNIT,UMWU
UNCERTAINTY_QUALIFIER,UNCQLF
UNCONSTRAINED_PAIR,UNCPR
UNCONSTRAINED_PAIR_VALUE,UNPRV
UNEQUALLY_DISPOSED_GEOMETRIC_TOLERANCE,UDGT
UNIFORM_CURVE,UNFCRV
UNIFORM_PRODUCT_SPACE,UNPRSP
UNIFORM_RESOURCE_IDENTIFIER,UNRSID
UNIFORM_SURFACE,UNFSRF
UNIFORM_VOLUME,UNFVLM
UNIVERSAL_PAIR,UNVPR
UNIVERSAL_PAIR_VALUE,NPRVL
UNIVERSAL_PAIR_WITH_RANGE,UPWR
USAGE_ASSOCIATION,USGASS
USER_DEFINED_CURVE_FONT,UDCF
USER_DEFINED_MARKER,USDFMR
USER_DEFINED_TERMINATOR_SYMBOL,UDTS
VALUE_FORMAT_TYPE_QUALIFIER,VFTQ
VALUE_FUNCTION,VLFNC
VALUE_RANGE,VLRNG
VALUE_REPRESENTATION_ITEM,VLRPIT
VARIABLE,VRBL
VARIABLE_SEMANTICS,VRBSMN
VECTOR,VECTOR
VECTOR_STYLE,VCTSTY
VEE_PROFILE,VPRF
VELOCITY_MEASURE_WITH_UNIT,VMW0
VELOCITY_UNIT,VLCUNT
VERSIONED_ACTION_REQUEST,VRACRQ
VERSIONED_ACTION_REQUEST_RELATIONSHIP,VARR
VERTEX,VERTEX
VERTEX_LOOP,VRTLP
VERTEX_POINT,VRTPNT
VERTEX_SHELL,VRTSHL
VIA_ARC_POINT,VARPN
VIA_HELIX_POINT,VHLPN
VIEW_VOLUME,VWVLM
VISUAL_APPEARANCE_REPRESENTATION,VSAPRP
VOLUME,VOLUME
VOLUME_MEASURE_WITH_UNIT,VMWU
VOLUME_UNIT,VLMUNT
VOLUME_WITH_FACES,VLWTFC
VOLUME_WITH_PARAMETRIC_BOUNDARY,VWPB
VOLUME_WITH_SHELL,VLWTSH
WEDGE_VOLUME,WDGVLM
WEEK_OF_YEAR_AND_DAY_DATE,WOYADD
WIRE_SHELL,WRSHL
XOR_EXPRESSION,XREXP
YEAR_MONTH,YRMNT
